date,hi,lo,cl,op,vol
20060426,23.14,22.88,22.95,23.1,11936
20060427,23.05,22.58,22.78,22.68,13511
20060428,23,22.8,22.94,22.9,4333
20060501,23.31,22.97,23.05,23.08,6658
20060502,23.32,23.09,23.32,23.17,6273
20060503,23.41,23.01,23.12,23.41,6177
20060504,23.19,22.95,23.01,23.05,7666
20060505,23.33,23.14,23.33,23.2,5525
20060508,23.29,22.99,23.23,23.27,9072
20060509,23.7,23.31,23.54,23.31,8610
20060510,23.6,23.4,23.56,23.56,8638
20060511,23.65,23.1,23.17,23.6,7281
20060512,23.09,22.57,22.76,23.09,21940
20060515,22.58,21.96,22.2,22.58,10656
20060516,22.5,22.03,22.29,22.38,7732
20060517,22.41,21.75,21.79,22.38,7329
20060518,21.89,21.37,21.47,21.89,12086
20060519,21.58,21,21.55,21.24,9912
20060522,21.38,20.89,21.35,21.19,18258
20060523,21.76,21.35,21.37,21.54,6892
20060524,21.34,20.87,21.15,21.11,8940
20060525,21.99,21.52,21.99,21.58,5036
20060526,22.2,21.96,22.2,22.09,8901
20060530,22.48,22.1,22.1,22.46,6545
20060531,22.45,22.17,22.38,22.38,10176
20060601,22.52,21.87,22.38,21.94,8647
20060602,22.68,22.48,22.6,22.66,8136
20060605,22.63,22.08,22.09,22.56,5178
20060606,21.91,21.58,21.86,21.86,10654
20060607,21.8,21.34,21.44,21.57,8318
20060608,21.15,20.51,21.04,21.15,18872
20060609,21.6,21.24,21.32,21.5,4359
20060612,21.56,20.96,21.02,21.45,7873
20060613,20.98,20.18,20.23,20.76,19596
20060614,20.56,20.16,20.41,20.33,10900
20060615,21,20.63,21,20.66,8268
20060616,20.88,20.64,20.78,20.87,5277
20060619,20.68,20.26,20.32,20.68,4630
20060620,20.58,20.29,20.29,20.4,3999
20060621,20.93,20.48,20.82,20.57,4673
20060622,20.79,20.59,20.66,20.71,2915
20060623,20.87,20.51,20.78,20.58,3268
20060626,21.09,20.8,21.09,20.9,2120
20060627,21.18,20.85,20.95,21.15,4289
20060628,21.04,20.74,20.93,20.96,2301
20060629,21.71,21.18,21.63,21.23,6146
20060630,21.97,21.68,21.83,21.9,6363
20060703,22.08,21.33,22.07,22.07,2148
20060705,22.08,21.74,21.89,22.08,4353
20060706,22.04,21.76,21.82,21.84,3236
20060707,21.98,21.74,21.82,21.82,3013
20060710,21.76,21.54,21.64,21.61,6215
20060711,21.87,21.58,21.8,21.63,5453
20060712,21.88,21.64,21.67,21.82,2433
20060713,21.64,21.35,21.38,21.56,7443
20060714,21.56,21.19,21.41,21.48,10435
20060717,21.43,21,21,21.36,4436
20060718,21.2,20.85,21.06,21.09,5865
20060719,21.45,20.92,21.42,20.92,4323
20060720,21.51,21.09,21.09,21.51,1939
20060721,21.16,20.9,20.93,21.15,7872
20060724,21.29,20.78,21.29,20.78,4195
20060725,21.56,21.26,21.56,21.33,2184
20060726,21.91,21.48,21.9,21.58,3002
20060727,22.12,21.56,21.6,22.08,3136
20060728,21.9,21.67,21.83,21.71,1505
20060731,22.06,21.79,21.86,22.06,2087
20060801,21.98,21.66,21.98,21.83,2800
20060802,22.36,22.13,22.24,22.13,4059
20060803,22.33,21.99,22.23,22.11,2599
20060804,22.47,22.01,22.16,22.29,2044
20060807,22.33,22.14,22.19,22.31,1906
20060808,22.54,22.28,22.41,22.43,6753
20060809,22.69,22.4,22.43,22.5,3005
20060810,22.41,22.09,22.26,22.32,4210
20060811,22.44,22.21,22.28,22.35,860
20060814,22.23,21.92,22.01,22.23,3681
20060815,22.36,22.09,22.36,22.09,1415
20060816,22.66,22.45,22.53,22.56,3232
20060817,22.58,22.3,22.45,22.48,2699
20060818,22.56,22.24,22.4,22.56,1704
20060821,22.82,22.59,22.82,22.66,2459
20060822,23.01,22.79,23.01,22.79,4787
20060823,23.25,22.93,23.04,23.08,3324
20060824,23.13,22.83,22.85,23.13,1391
20060825,23.05,22.87,22.87,23.05,1413
20060828,23,22.75,22.94,22.76,2877
20060829,22.96,22.59,22.88,22.96,10725
20060830,23,22.64,22.82,23,3008
20060831,23,22.75,22.83,22.87,3881
20060901,23.12,22.88,23.05,22.92,2836
20060905,23.05,22.85,23.03,22.85,4849
20060906,22.91,22.63,22.63,22.91,11795
20060907,22.58,22.22,22.32,22.58,7528
20060908,22.24,22.02,22.08,22.19,7041
20060911,21.87,21.48,21.54,21.86,8749
20060912,21.87,21.54,21.62,21.64,8531
20060913,21.85,21.57,21.81,21.66,4266
20060914,22.03,21.1,21.58,21.1,3678
20060915,21.75,21.52,21.6,21.75,4707
20060918,21.96,21.58,21.92,21.58,8788
20060919,21.88,21.47,21.58,21.87,3154
20060920,21.75,21.4,21.41,21.58,8904
20060921,21.8,21.46,21.6,21.48,5278
20060922,21.83,21.47,21.51,21.74,3320
20060925,21.6,21.25,21.59,21.53,17646
20060926,21.84,21.59,21.81,21.59,5370
20060927,22.12,21.75,22.12,21.89,4501
20060928,22.4,22.14,22.26,22.14,4081
20060929,22.2,22,22.08,22.18,3249
20061002,22.17,21.94,22.01,22.08,3424
20061003,21.83,21.33,21.33,21.73,9488
20061004,21.51,20.97,21.47,21.28,12582
20061005,21.84,21.59,21.79,21.76,8244
20061006,21.79,21.5,21.68,21.58,5535
20061009,21.83,21.64,21.66,21.64,5145
20061010,21.68,21.52,21.65,21.58,10734
20061011,21.57,21.17,21.24,21.48,15576
20061012,21.49,21.28,21.49,21.34,6274
20061013,21.87,21.53,21.87,21.53,10974
20061016,22.26,21.87,22.24,21.9,6393
20061017,22.23,21.84,21.96,22.23,12523
20061018,22.16,21.89,21.94,22.11,1805
20061019,22.4,22.02,22.37,22.05,3045
20061020,22.63,21.68,22.4,21.68,2877
20061023,22.88,21.83,22.5,21.83,3276
20061024,22.97,22.33,22.72,22.97,5879
20061025,23.08,22.54,23.04,22.99,17299
20061026,23.18,22.33,23.18,22.33,3872
20061027,23.3,22.65,22.82,22.65,3145
20061030,22.94,22.38,22.89,22.38,2252
20061031,23.22,22.72,23.22,22.78,4248
20061101,22.86,22.33,22.49,22.58,9538
20061102,22.88,22.4,22.88,22.43,12760
20061103,23.1,22.78,23.03,22.78,12871
20061106,23.32,22.91,23.24,22.91,4123
20061107,23.89,23.12,23.18,23.89,9493
20061108,23.34,22.73,23.34,22.82,8891
20061109,23.61,23.2,23.49,23.2,2020
20061110,23.56,23.18,23.28,23.21,3507
20061113,23.48,22.9,23.1,22.9,2797
20061114,23.45,22.98,23.1,23.45,4119
20061115,23.36,23.01,23.31,23.04,1848
20061116,23.56,23.1,23.1,23.38,8025
20061117,23.16,22.8,23.07,22.81,4460
20061120,23.38,22.84,23.17,22.84,3540
20061121,23.58,23.05,23.52,23.05,8235
20061122,23.68,23.4,23.57,23.4,2031
20061124,23.95,23.4,23.86,23.4,1713
20061127,23.96,23.55,23.64,23.86,3526
20061128,23.78,23.31,23.66,23.31,2198
20061129,23.92,23.59,23.82,23.92,2520
20061130,24.15,23.82,23.85,24.15,4853
20061201,23.93,23.68,23.85,23.85,2052
20061204,24.51,23.86,24.14,24.51,5886
20061205,24.32,24.03,24.25,24.3,2051
20061206,24.23,23.99,24.1,23.99,2626
20061207,24.15,23.92,24.05,24.15,2949
20061208,24.21,23.99,24.06,24.19,3128
20061211,24.16,23.96,24.02,24.09,2252
20061212,23.95,23.76,23.93,23.83,1489
20061213,23.96,23.78,23.89,23.96,2189
20061214,24.13,23.9,24.12,24.1,3334
20061215,24.12,23.73,23.73,24,2637
20061218,23.86,23.48,23.49,23.49,2506
20061219,23.73,23.08,23.62,23.1,2319
20061220,23.68,23.37,23.51,23.37,2130
20061221,23.82,23.11,23.2,23.82,6109
20061222,23.49,23.04,23.12,23.49,1711
20061226,23.18,22.93,22.97,23.04,1901
20061227,23.37,23,23.35,23.14,1295
20061228,23.51,22.91,23.43,22.91,1254
20061229,23.88,23.3,23.4,23.88,1188
20070103,23.37,22.75,22.83,23.27,5483
20070104,22.73,22.38,22.43,22.38,7342
20070105,22.8,22.22,22.35,22.8,4837
20070108,22.73,22.19,22.19,22.73,3573
20070109,22.37,22.08,22.24,22.08,2367
20070110,22.29,21.61,22.21,21.61,3594
20070111,22.69,22.18,22.32,22.69,2603
20070112,22.87,22.17,22.86,22.17,2356
20070116,23,22.38,22.52,22.38,8546
20070117,22.85,22.62,22.78,22.81,2301
20070118,22.97,22.5,22.51,22.5,15148
20070119,22.87,22.36,22.85,22.36,2790
20070122,22.85,22.54,22.57,22.71,3007
20070123,23.08,22.32,23.06,22.32,3689
20070124,23.38,22.94,23.31,22.99,8859
20070125,23.35,23.02,23.05,23.35,12396
20070126,23.57,23.1,23.23,23.1,1871
20070129,23.27,23.03,23.06,23.21,1518
20070130,23.33,23.07,23.33,23.16,2332
20070131,23.5,23.14,23.42,23.26,4406
20070201,23.7,23.47,23.6,23.47,2291
20070202,23.57,23.4,23.44,23.4,2234
20070205,23.58,23.28,23.55,23.31,2627
20070206,23.76,23.49,23.63,23.56,5933
20070207,23.69,23.38,23.52,23.64,4111
20070208,23.65,23.1,23.65,23.1,2006
20070209,23.85,23.57,23.61,23.67,1487
20070212,23.69,23.4,23.51,23.46,6115
20070213,23.98,23.56,23.98,23.66,7402
20070214,24.17,23.97,24.03,24.01,1514
20070215,24.26,24.04,24.26,24.13,1300
20070216,24.31,24.19,24.29,24.29,1205
20070220,24.14,23.97,24.1,24.14,4096
20070221,24.51,24.13,24.38,24.51,2351
20070222,24.46,24.13,24.3,24.38,2227
20070223,24.52,24.33,24.36,24.45,2760
20070226,24.83,24.45,24.5,24.83,2620
20070227,24.36,23.43,23.57,24.36,6501
20070228,24.1,23.33,23.57,24.1,2389
20070301,23.54,22.78,23.33,22.95,6832
20070302,23.4,22.95,22.96,23.32,5727
20070305,23.02,22.09,22.7,22.73,5126
20070306,23.17,22.83,23.05,22.83,2631
20070307,23.33,22.91,23.23,22.91,4766
20070308,23.77,23.28,23.35,23.77,2554
20070309,23.63,23.4,23.56,23.51,2180
20070312,24.46,23.49,23.49,24.46,1789
20070313,23.7,22.94,22.94,23.62,3958
20070314,23.08,22.66,23.02,22.89,3255
20070315,23.24,23.06,23.14,23.15,3086
20070316,23.34,22.93,23.08,23.14,5416
20070319,23.44,22.54,23.31,22.54,3246
20070320,23.77,23.51,23.68,23.65,4377
20070321,24.16,23.65,24.11,23.65,3722
20070322,24.51,23.98,24.04,24.51,3090
20070323,24.34,24.03,24.18,24.34,2785
20070326,24.49,24.03,24.26,24.49,1856
20070327,24.52,24.15,24.19,24.38,1329
20070328,24.28,23.99,24.09,23.99,4208
20070329,24.42,24.14,24.3,24.19,2268
20070330,24.51,24.1,24.23,24.51,2572
20070402,24.93,23.91,24.43,24.34,1856
20070403,24.73,24.24,24.73,24.24,4918
20070404,24.75,24.42,24.66,24.75,3936
20070405,24.93,24.73,24.84,24.78,2434
20070409,25.18,24.78,24.88,24.86,2089
20070410,25.09,24.82,24.83,25.05,1748
20070411,25.15,24.83,25,25.15,1509
20070412,25.34,24.91,25.34,24.93,11638
